// Cahoot's healing potion treasure table overwrites below

// ============================ Underlying treasure tables ============================

// For reference: the healing potion treasure table
// new treasuretable "Alchemy_Potion_Healing"
// new subtable "1,1"
// EndLevel "4"
// object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
// new subtable "1,1"
// StartLevel "5"
// EndLevel "7"
// object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
// object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
// new subtable "1,1"
// StartLevel "8"
// EndLevel "10"
// object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
// object category "I_OBJ_Potion_Healing_Superior",1,0,0,0,0,0,0,0
// new subtable "1,1"
// StartLevel "11"
// object category "I_OBJ_Potion_Healing_Superior",1,0,0,0,0,0,0,0
// object category "I_OBJ_Potion_Healing_Supreme",1,0,0,0,0,0,0,0

// Reduce number of healing potions available in healing potion supply table by 1
new treasuretable "Alchemy_Potion_Healing_Supply"
// new subtable "2,1;3,1;4,1"
new subtable "1,1;2,1;3,1"
object category "T_Alchemy_Potion_Healing",1,0,0,0,0,0,0,0

// Reduce weight of healing potions being rolled in alchemy potion table to 37.5% (previously 50%)
new treasuretable "Alchemy_Potion"
new subtable "1,1"
// object category "T_Alchemy_Potion_Healing",5,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Healing",3,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Utility",2,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Elixir",1,0,0,0,0,0,0,0

// Reduce weight of potions being rolled in potion/coating table to 50% (previously 75%)
new treasuretable "Alchemy_PotionOrCoating_Trade"
new subtable "1,1"
// object category "T_Alchemy_Potion_Trade",3,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Trade",1,0,0,0,0,0,0,0
object category "T_Alchemy_Coating",1,0,0,0,0,0,0,0

// Reduce weight of potions being rolled in potion/oil table to 50% (previously 75%)
new treasuretable "Alchemy_PotionOrOil_Trade"
new subtable "1,1"
// object category "T_Alchemy_Potion_Trade",3,0,0,0,0,0,0,0
object category "T_Alchemy_Potion_Trade",1,0,0,0,0,0,0,0
object category "T_Alchemy_Oil",1,0,0,0,0,0,0,0

// ============================ Specific vendors ============================

// Arron: reduce number of basic healing potions stocked
new treasuretable "DEN_Entrance_Trade"
new subtable "1,1"
object category "T_Gold_Trader_Normal",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_DEN_Entrance_Trade_Armor",1,0,0,0,0,0,0,0
// new subtable "3,1"
new subtable "2,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "T_ST_RandomPotion",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_OBJ_Scroll_Revivify",1,0,0,0,0,0,0,0
new subtable "9,1"
object category "T_Scroll",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_ST_DEN_Trader_Ranged_Arrows",1,0,0,0,0,0,0,0
new subtable "4,1"
object category "I_OBJ_Kit_ThievesTools",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_MAG_Fire_IncreaseSlashingDamageToBurning_Handaxe",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_MAG_Harpers_RingOfProjection",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_MAG_Druid_Magic_Hide_Armor",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "I_WPN_Torch",1,0,0,0,0,0,0,0
new subtable "5,1"
object category "I_OBJ_Kit_TrapDisarm",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_UNI_StaffOfRain",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Supplies_Vendor_Fancy",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Tool_Shovel",1,0,0,0,0,0,0,0
new subtable "7,1"
object category "T_ST_Dye",1,0,0,0,0,0,0,0
new subtable "-10"
object category "I_OBJ_Dye_Remover",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_UNI_ARM_OfMissileSnaring_Gloves",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_UNI_Bow_SpellslotRecharge",1,0,0,0,0,0,0,0

// Auntie Ethel: reduce number of basic healing potions dropped
new treasuretable "DEN_Ethel"
// new subtable "4,1"
new subtable "2,1"
object category "I_OBJ_Potion_Healing",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
new subtable "5,1"
object category "I_CONS_DRINK_Water_Bottle",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "I_OBJ_Potion_Of_Hill_Giant_Strength",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Gold_Trader_Normal",1,0,0,0,0,0,0,0
new subtable "5,1;6,1"
object category "T_ST_DEN_Ethel_Alchemy",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_UNI_RepeatStaff",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "T_Supplies_Vendor_Tiny",1,0,0,0,0,0,0,0

// Auntie Ethel: reduce number of Greater healing potions stocked
new treasuretable "HAG_Ethel"
new subtable "1,1"
object category "T_Gold_Trader_Wealthy",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_UNI_RepeatStaff",1,0,0,0,0,0,0,0
// new subtable "2,1"
new subtable "1,1"
object category "I_OBJ_Potion_Healing_Greater",1,0,0,0,0,0,0,0
new subtable "3,1"
object category "T_ST_RandomPotion",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "T_Alchemy_Poison",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "I_OBJ_FireBottle",1,0,0,0,0,0,0,0
new subtable "2,1"
object category "I_OBJ_AcidBottle",1,0,0,0,0,0,0,0
new subtable "7,1"
